CRC,Date,Time,Latitude,Longitude,Fix,Act1,Act2,Act3,Act4
OK,17/12/2019,18:01:21,33.130,-115.451,A1,,,,
OK,17/12/2019,23:15:33,33.128,-115.454,AB,,,,
OK,18/12/2019,00:58:30,33.134,-115.468,A2,,,,
OK,18/12/2019,19:22:04,33.169,-115.516,AB,,,,
OK,19/12/2019,17:18:22,33.143,-115.456,A1,,,,
OK,21/12/2019,17:42:20,33.141,-115.479,A1,,,,
OK,21/12/2019,18:18:08,33.136,-115.469,A1,,,,
OK,24/12/2019,18:14:36,33.157,-115.459,AB,,,,
OK,24/12/2019,18:55:25,33.154,-115.461,AB,,,,
OK,27/12/2019,17:16:48,33.152,-115.480,AB,,,,
OK,27/12/2019,17:48:55,33.128,-115.472,A0,,,,
OK,28/12/2019,17:32:09,33.121,-115.424,A0,,,,
